time_s,diameter_m,diameter_um,temperature_K,mass_kg,d2_norm,Re,Nu,Sh,B_M,mdot_kg_s,Q_conv_W,K_evap_m2_s
0.00000000,0.00010000,100.00000000,300.00000000,0.00000000,1.00000000,1.70917442,2.29163310,2.87828995,0.24582340,-0.00000000,0.02472578,0.00000006
0.00002500,0.00009999,99.99238983,300.73476664,0.00000000,0.99984780,1.70745638,2.29162788,2.87431949,0.25548941,-0.00000000,0.02470934,0.00000006
0.00005000,0.00009998,99.98452034,301.46810144,0.00000000,0.99969043,1.70573969,2.29162246,2.87027297,0.26548120,-0.00000000,0.02469283,0.00000006
0.00007500,0.00009998,99.97638544,302.19998234,0.00000000,0.99952776,1.70402428,2.29161683,2.86615015,0.27580846,-0.00000000,0.02467627,0.00000007
0.00010000,0.00009997,99.96797901,302.93038723,0.00000000,0.99935968,1.70231008,2.29161099,2.86195086,0.28648118,-0.00000000,0.02465964,0.00000007
0.00012500,0.00009996,99.95929488,303.65929391,0.00000000,0.99918606,1.70059702,2.29160491,2.85767496,0.29750966,-0.00000000,0.02464295,0.00000007
0.00015000,0.00009995,99.95032685,304.38668011,0.00000000,0.99900678,1.69888505,2.29159860,2.85332238,0.30890453,-0.00000000,0.02462619,0.00000007
0.00017500,0.00009994,99.94106869,305.11252351,0.00000000,0.99882172,1.69717410,2.29159203,2.84889310,0.32067677,-0.00000000,0.02460937,0.00000008
0.00020000,0.00009993,99.93151413,305.83680175,0.00000000,0.99863075,1.69546409,2.29158521,2.84438716,0.33283769,-0.00000000,0.02459248,0.00000008
0.00022500,0.00009992,99.92165688,306.55949244,0.00000000,0.99843375,1.69375497,2.29157811,2.83980462,0.34539900,-0.00000000,0.02457552,0.00000008
0.00025000,0.00009991,99.91149061,307.28057316,0.00000000,0.99823060,1.69204666,2.29157073,2.83514564,0.35837280,-0.00000000,0.02455850,0.00000008
0.00027500,0.00009990,99.90100900,308.00002148,0.00000000,0.99802116,1.69033910,2.29156306,2.83041041,0.37177157,-0.00000000,0.02454141,0.00000009
0.00030000,0.00009989,99.89020567,308.71781500,0.00000000,0.99780532,1.68863222,2.29155508,2.82559917,0.38560825,-0.00000000,0.02452424,0.00000009
0.00032500,0.00009988,99.87907426,309.43393129,0.00000000,0.99758295,1.68692596,2.29154679,2.82071221,0.39989621,-0.00000000,0.02450701,0.00000009
0.00035000,0.00009987,99.86760838,310.14834798,0.00000000,0.99735392,1.68522024,2.29153817,2.81574989,0.41464929,-0.00000000,0.02448971,0.00000009
0.00037500,0.00009986,99.85580160,310.86104271,0.00000000,0.99711811,1.68351499,2.29152922,2.81071260,0.42988182,-0.00000001,0.02447233,0.00000010
0.00040000,0.00009984,99.84364754,311.57199316,0.00000000,0.99687540,1.68181015,2.29151992,2.80560080,0.44560866,-0.00000001,0.02445488,0.00000010
0.00042500,0.00009983,99.83113975,312.28117706,0.00000000,0.99662565,1.68010565,2.29151026,2.80041499,0.46184520,-0.00000001,0.02443735,0.00000010
0.00045000,0.00009982,99.81827182,312.98857221,0.00000000,0.99636874,1.67840143,2.29150023,2.79515572,0.47860741,-0.00000001,0.02441975,0.00000010
0.00047500,0.00009981,99.80503732,313.69415647,0.00000000,0.99610455,1.67669740,2.29148981,2.78982359,0.49591184,-0.00000001,0.02440207,0.00000011
0.00050000,0.00009979,99.79142981,314.39790777,0.00000000,0.99583295,1.67499351,2.29147901,2.78441924,0.51377570,-0.00000001,0.02438432,0.00000011
0.00052500,0.00009978,99.77744285,315.09980411,0.00000000,0.99555381,1.67328968,2.29146780,2.77894336,0.53221682,-0.00000001,0.02436649,0.00000011
0.00055000,0.00009976,99.76307003,315.79982358,0.00000000,0.99526701,1.67158585,2.29145618,2.77339669,0.55125378,-0.00000001,0.02434857,0.00000012
0.00057500,0.00009975,99.74830491,316.49794438,0.00000000,0.99497243,1.66988194,2.29144413,2.76777999,0.57090584,-0.00000001,0.02433058,0.00000012
0.00060000,0.00009973,99.73314107,317.19414477,0.00000000,0.99466994,1.66817789,2.29143165,2.76209409,0.59119308,-0.00000001,0.02431251,0.00000012
0.00062500,0.00009972,99.71757209,317.88840312,0.00000000,0.99435942,1.66647363,2.29141872,2.75633985,0.61213638,-0.00000001,0.02429436,0.00000013
0.00065000,0.00009970,99.70159156,318.58069791,0.00000000,0.99404074,1.66476909,2.29140532,2.75051815,0.63375746,-0.00000001,0.02427612,0.00000013
0.00067500,0.00009969,99.68519307,319.27100772,0.00000000,0.99371377,1.66306420,2.29139146,2.74462992,0.65607899,-0.00000001,0.02425780,0.00000013
0.00070000,0.00009967,99.66837022,319.95931122,0.00000000,0.99337840,1.66135889,2.29137711,2.73867613,0.67912457,-0.00000001,0.02423940,0.00000014
